data,municipio,estado,bioma,avg_numero_dias_sem_chuva,avg_precipitacao,avg_risco_fogo,avg_frp
2024-04-01,PAULO AFONSO,BAHIA,Caatinga,3.0,2077.0,0.0,31.0
2024-04-01,MORRO DO CHAPÉU,BAHIA,Caatinga,3.0,0.0,15.33,184.33
2024-04-01,JABORANDI,BAHIA,Cerrado,6.92,477.97,6.65,103.59
2024-04-01,BONITO,BAHIA,Caatinga,0.0,0.0,7.0,61.0
2024-04-01,PALMEIRAS,BAHIA,Caatinga,13.0,0.0,45.0,38.43
2024-04-01,MIGUEL CALMON,BAHIA,Caatinga,0.0,0.0,1.0,158.0
2024-04-01,CONTAGEM,MINAS GERAIS,Mata Atlântica,1.0,29.0,0.0,39.0
2024-04-01,TRÊS CORAÇÕES,MINAS GERAIS,Mata Atlântica,2.0,0.0,3.0,46.0
2024-04-01,IJACI,MINAS GERAIS,Mata Atlântica,2.0,10.0,0.0,13.0
2024-04-01,JOÃO PINHEIRO,MINAS GERAIS,Cerrado,0.0,374.0,0.0,51.0
2024-04-01,GLAUCILÂNDIA,MINAS GERAIS,Cerrado,4.0,2346.0,0.0,28.0
2024-04-01,ITAÚ DE MINAS,MINAS GERAIS,Mata Atlântica,2.0,0.0,0.0,8.0
2024-04-01,VARZELÂNDIA,MINAS GERAIS,Caatinga,1.0,0.0,64.5,8.0
2024-04-01,NOVA PORTEIRINHA,MINAS GERAIS,Caatinga,9.0,22.5,63.0,36.0
2024-04-01,UNAÍ,MINAS GERAIS,Cerrado,2.0,2647.0,0.0,93.0
2024-04-01,BARROSO,MINAS GERAIS,Mata Atlântica,0.0,287.0,0.0,9.0
2024-04-01,OURO PRETO,MINAS GERAIS,Mata Atlântica,2.0,0.0,9.33,22.0
2024-04-01,SÃO JOÃO DEL REI,MINAS GERAIS,Mata Atlântica,2.0,22.0,27.0,11.0
2024-04-01,MONTES CLAROS,MINAS GERAIS,Cerrado,3.0,2737.75,0.0,16.5
2024-04-01,CARANAÍBA,MINAS GERAIS,Mata Atlântica,2.0,30.0,3.0,5.0
2024-04-01,MARTINHO CAMPOS,MINAS GERAIS,Cerrado,2.0,10.0,6.0,311.0
2024-04-01,FORMOSO,MINAS GERAIS,Cerrado,2.0,524.0,0.0,24.0
2024-04-01,DELFIM MOREIRA,MINAS GERAIS,Mata Atlântica,2.0,10.0,1.0,31.0
2024-04-01,VERDELÂNDIA,MINAS GERAIS,Caatinga,1.0,0.0,37.0,100.0
2024-04-01,MIRADOURO,MINAS GERAIS,Mata Atlântica,2.0,0.0,13.0,71.0
2024-04-01,SABARÁ,MINAS GERAIS,Mata Atlântica,1.0,56.0,3.0,5.0
2024-04-01,MAR DE ESPANHA,MINAS GERAIS,Mata Atlântica,2.0,0.0,2.0,31.0
2024-04-01,URUCUIA,MINAS GERAIS,Cerrado,0.0,537.5,3.0,68.0
2024-04-01,SETE LAGOAS,MINAS GERAIS,Cerrado,4.0,39.0,25.0,8.0
2024-04-01,MURIAÉ,MINAS GERAIS,Mata Atlântica,2.0,0.0,9.0,103.5
2024-04-01,BOCAIÚVA,MINAS GERAIS,Cerrado,4.0,1848.0,3.0,38.0
2024-04-01,MATOZINHOS,MINAS GERAIS,Cerrado,1.0,132.0,0.0,11.0
2024-04-01,CAPITÃO ENÉAS,MINAS GERAIS,Cerrado,0.0,786.5,10.0,17.5
2024-04-01,VILA PAVÃO,ESPÍRITO SANTO,Mata Atlântica,0.0,10.0,100.0,48.0
2024-04-01,VILA VALÉRIO,ESPÍRITO SANTO,Mata Atlântica,2.0,0.0,97.0,43.0
2024-04-01,JOÃO NEIVA,ESPÍRITO SANTO,Mata Atlântica,0.0,0.0,2.0,11.0
2024-04-01,ARACRUZ,ESPÍRITO SANTO,Mata Atlântica,0.0,0.0,1.0,8.0
2024-04-01,MUNIZ FREIRE,ESPÍRITO SANTO,Mata Atlântica,0.0,0.0,15.0,69.5
2024-04-01,BOA ESPERANÇA,ESPÍRITO SANTO,Mata Atlântica,0.0,0.0,57.0,84.0
2024-04-01,JAGUARÉ,ESPÍRITO SANTO,Mata Atlântica,0.0,0.0,100.0,78.67
2024-04-01,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlântica,1.5,0.0,3.5,39.75
2024-04-01,SÃO GONÇALO,RIO DE JANEIRO,Mata Atlântica,0.0,0.0,84.0,7.0
2024-04-01,CANTAGALO,RIO DE JANEIRO,Mata Atlântica,2.0,0.0,49.0,6.0
2024-04-01,CAIEIRAS,SÃO PAULO,Mata Atlântica,3.0,10.0,3.43,14.0
2024-04-01,PEDERNEIRAS,SÃO PAULO,Cerrado,3.0,130.0,54.0,23.0
2024-04-01,GUARULHOS,SÃO PAULO,Mata Atlântica,4.0,40.0,2.0,5.0
2024-04-01,RIO CLARO,SÃO PAULO,Mata Atlântica,3.0,10.0,6.0,32.0
2024-04-01,SÃO PAULO,SÃO PAULO,Mata Atlântica,4.0,39.0,0.0,9.0
2024-04-01,ITAPEVA,SÃO PAULO,Cerrado,5.0,21.0,33.0,8.0
2024-04-01,MOGI DAS CRUZES,SÃO PAULO,Mata Atlântica,4.0,0.0,0.0,23.0
2024-04-01,NAZARÉ PAULISTA,SÃO PAULO,Mata Atlântica,2.0,125.0,1.0,34.0
2024-04-01,GUAIMBÊ,SÃO PAULO,Mata Atlântica,2.0,411.0,47.0,96.0
2024-04-01,PORTO FELIZ,SÃO PAULO,Mata Atlântica,2.0,37.0,52.0,31.0
2024-04-01,VOTORANTIM,SÃO PAULO,Mata Atlântica,5.0,9.5,0.0,10.0
2024-04-01,PALESTINA,SÃO PAULO,Cerrado,0.0,1039.0,0.0,29.0
2024-04-01,IPORANGA,SÃO PAULO,Mata Atlântica,9.0,40.0,18.0,38.0
2024-04-01,MAUÁ,SÃO PAULO,Mata Atlântica,3.0,141.0,0.0,5.0
2024-04-01,ARARAS,SÃO PAULO,Mata Atlântica,2.0,39.0,0.0,26.0
2024-04-01,IBIÚNA,SÃO PAULO,Mata Atlântica,3.0,30.0,35.0,28.0
2024-04-01,CACONDE,SÃO PAULO,Mata Atlântica,2.0,0.0,1.0,49.0
2024-04-01,SÃO JERÔNIMO DA SERRA,PARANÁ,Mata Atlântica,8.0,50.0,69.0,125.0
2024-04-01,MARUMBI,PARANÁ,Mata Atlântica,10.0,56.5,100.0,140.0
2024-04-01,ORTIGUEIRA,PARANÁ,Mata Atlântica,11.0,10.0,0.0,12.0
2024-04-01,CASTRO,PARANÁ,Mata Atlântica,10.0,10.0,35.0,114.5
2024-04-01,CONCÓRDIA,SANTA CATARINA,Mata Atlântica,9.0,10.0,13.0,65.0
2024-04-01,PINHEIRO PRETO,SANTA CATARINA,Mata Atlântica,10.0,148.0,46.0,31.0
2024-04-01,CANOINHAS,SANTA CATARINA,Mata Atlântica,12.0,20.0,61.0,43.0
2024-04-01,BRAÇO DO NORTE,SANTA CATARINA,Mata Atlântica,1.0,191.0,93.0,31.0
2024-04-01,SÃO BONIFÁCIO,SANTA CATARINA,Mata Atlântica,2.0,112.0,24.0,58.0
2024-04-01,HERVAL D'OESTE,SANTA CATARINA,Mata Atlântica,10.0,164.0,13.0,28.0
2024-04-01,CAPINZAL,SANTA CATARINA,Mata Atlântica,12.0,20.0,48.0,61.0
2024-04-01,LAGES,SANTA CATARINA,Mata Atlântica,0.0,244.5,5.0,40.0
2024-04-01,SEARA,SANTA CATARINA,Mata Atlântica,11.0,10.0,28.0,27.0
2024-04-01,MONTE CASTELO,SANTA CATARINA,Mata Atlântica,6.0,20.0,20.0,71.0
2024-04-01,TURVO,SANTA CATARINA,Mata Atlântica,3.0,30.0,64.0,52.0
2024-04-01,XAVANTINA,SANTA CATARINA,Mata Atlântica,11.0,30.0,22.67,61.0
2024-04-01,SÃO JOSÉ DO CERRITO,SANTA CATARINA,Mata Atlântica,11.0,195.0,22.0,60.5
2024-04-01,ITAIÓPOLIS,SANTA CATARINA,Mata Atlântica,11.0,50.0,64.67,34.33
2024-04-01,ITAPUCA,RIO GRANDE DO SUL,Mata Atlântica,3.0,60.0,13.0,59.0
2024-04-01,LINHA NOVA,RIO GRANDE DO SUL,Mata Atlântica,2.0,2455.0,0.0,24.0
2024-04-01,BARRA DO RIO AZUL,RIO GRANDE DO SUL,Mata Atlântica,11.0,0.0,69.0,45.0
2024-04-01,SÃO PEDRO DA SERRA,RIO GRANDE DO SUL,Mata Atlântica,2.0,1292.0,2.0,50.0
2024-04-01,ROQUE GONZALES,RIO GRANDE DO SUL,Mata Atlântica,0.0,93.0,1.0,5.0
2024-04-01,SINIMBU,RIO GRANDE DO SUL,Mata Atlântica,3.0,40.0,9.0,47.0
2024-04-01,VACARIA,RIO GRANDE DO SUL,Mata Atlântica,3.0,30.0,100.0,27.0
2024-04-01,TRIUNFO,RIO GRANDE DO SUL,Pampa,2.0,156.2,23.4,75.0
2024-04-01,SANTA MARIA,RIO GRANDE DO SUL,Pampa,10.0,0.0,68.0,44.5
2024-04-01,SÃO FRANCISCO DE PAULA,RIO GRANDE DO SUL,Mata Atlântica,3.0,49.0,28.5,47.0
2024-04-01,POUSO NOVO,RIO GRANDE DO SUL,Mata Atlântica,2.0,497.0,1.0,65.0
2024-04-01,NOVA ANDRADINA,MATO GROSSO DO SUL,Cerrado,5.0,190.0,72.0,12.0
2024-04-01,FIGUEIRÃO,MATO GROSSO DO SUL,Cerrado,0.33,1225.67,0.0,108.33
2024-04-01,COCALINHO,MATO GROSSO,Cerrado,0.0,516.0,0.0,41.0
2024-04-01,BOM JESUS DO ARAGUAIA,MATO GROSSO,Amazônia,0.0,555.33,0.0,54.0
2024-04-01,NOVA MUTUM,MATO GROSSO,Cerrado,2.0,662.67,1.33,73.33
2024-04-01,SANTA CARMEM,MATO GROSSO,Amazônia,3.0,124.0,0.0,43.0
2024-04-01,PONTES E LACERDA,MATO GROSSO,Amazônia,0.5,70.0,5.0,26.0
2024-04-01,POCONÉ,MATO GROSSO,Pantanal,2.0,2985.67,0.0,11.0
2024-04-01,BRASNORTE,MATO GROSSO,Cerrado,0.0,471.0,1.0,247.0
2024-04-01,BRASNORTE,MATO GROSSO,Amazônia,1.0,15.0,0.5,45.5
2024-04-01,DENISE,MATO GROSSO,Amazônia,0.0,1392.67,0.0,86.83
2024-04-01,CAMPOS DE JÚLIO,MATO GROSSO,Cerrado,1.67,260.0,5.33,153.33
2024-04-01,PRIMAVERA DO LESTE,MATO GROSSO,Cerrado,1.0,1134.0,0.0,85.0
2024-04-01,NOVO SÃO JOAQUIM,MATO GROSSO,Cerrado,0.0,20.0,0.0,71.0
2024-04-01,CANARANA,MATO GROSSO,Amazônia,1.0,40.0,3.0,54.0
2024-04-01,ALTO GARÇAS,MATO GROSSO,Cerrado,0.0,115.0,1.0,65.0
2024-04-01,QUERÊNCIA,MATO GROSSO,Amazônia,1.67,1020.0,0.67,102.33
2024-04-01,NOVA MARILÂNDIA,MATO GROSSO,Amazônia,1.0,219.0,4.0,159.0
2024-04-01,PARANATINGA,MATO GROSSO,Amazônia,0.0,3701.0,0.0,72.5
2024-04-01,PORTO ESPERIDIÃO,MATO GROSSO,Pantanal,0.0,1257.0,8.0,16.0
2024-04-01,PORTO ESPERIDIÃO,MATO GROSSO,Amazônia,0.0,271.0,25.0,30.0
2024-04-01,DIAMANTINO,MATO GROSSO,Cerrado,0.07,462.2,0.27,151.53
2024-04-01,DIAMANTINO,MATO GROSSO,Amazônia,2.0,481.0,4.5,136.0
2024-04-01,SAPEZAL,MATO GROSSO,Cerrado,1.33,228.33,4.25,168.67
2024-04-01,CÁCERES,MATO GROSSO,Pantanal,0.0,2526.42,0.0,24.94
2024-04-01,NOVA MARINGÁ,MATO GROSSO,Amazônia,0.33,61.67,0.33,153.0
2024-04-01,ITAÚBA,MATO GROSSO,Amazônia,0.0,649.0,1.0,308.0
2024-04-01,SORRISO,MATO GROSSO,Cerrado,3.0,1429.0,0.0,169.0
2024-04-01,GAÚCHA DO NORTE,MATO GROSSO,Amazônia,0.0,2428.0,0.0,88.0
2024-04-01,PEIXOTO DE AZEVEDO,MATO GROSSO,Amazônia,1.0,356.0,1.0,561.0
2024-04-01,TANGARÁ DA SERRA,MATO GROSSO,Cerrado,2.0,2322.75,0.0,67.25
2024-04-01,BARRO ALTO,GOIÁS,Cerrado,2.0,34.0,0.5,15.5
2024-04-01,PORTEIRÃO,GOIÁS,Cerrado,0.0,425.0,0.0,73.0
2024-04-01,NOVA VENEZA,GOIÁS,Cerrado,0.0,1379.0,0.0,23.0
2024-04-01,ARAGARÇAS,GOIÁS,Cerrado,3.0,20.0,2.0,61.0
2024-04-01,PORTELÂNDIA,GOIÁS,Cerrado,0.0,1268.0,0.0,52.0
2024-04-01,MONTIVIDIU,GOIÁS,Cerrado,0.0,2373.0,0.0,31.0
2024-04-01,GOIÁS,GOIÁS,Cerrado,0.0,525.0,0.0,17.0
2024-04-01,PARAÚNA,GOIÁS,Cerrado,0.0,226.0,0.5,99.0
2024-04-01,VICENTINÓPOLIS,GOIÁS,Cerrado,0.0,568.0,0.0,58.0
2024-04-01,PONTALINA,GOIÁS,Cerrado,0.0,66.0,0.0,74.5
2024-04-01,MINEIROS,GOIÁS,Cerrado,0.0,539.33,0.33,32.33
2024-04-01,SANTA FÉ DE GOIÁS,GOIÁS,Cerrado,0.0,164.0,2.0,41.0
2024-04-01,QUIRINÓPOLIS,GOIÁS,Mata Atlântica,0.0,204.0,0.5,62.0
2024-04-01,POSSE,GOIÁS,Cerrado,0.0,1088.67,0.0,147.0
2024-04-02,VILHENA,RONDÔNIA,Amazônia,0.0,330.0,0.0,43.0
2024-04-02,SÃO MIGUEL DO GUAPORÉ,RONDÔNIA,Amazônia,1.0,372.0,0.0,31.5
2024-04-02,PIMENTA BUENO,RONDÔNIA,Amazônia,0.0,285.0,0.0,69.5
2024-04-02,PORTO VELHO,RONDÔNIA,Amazônia,1.25,434.0,0.0,115.5
2024-04-02,XAPURI,ACRE,Amazônia,3.0,0.0,7.0,51.0
2024-04-02,FEIJÓ,ACRE,Amazônia,0.0,1929.0,0.0,28.0
2024-04-02,TARAUACÁ,ACRE,Amazônia,1.0,1225.67,0.0,107.67
2024-04-02,SÃO GABRIEL DA CACHOEIRA,AMAZONAS,Amazônia,3.0,469.0,0.0,48.0
2024-04-02,TEFÉ,AMAZONAS,Amazônia,0.0,360.0,0.0,1.0
2024-04-02,ATALAIA DO NORTE,AMAZONAS,Amazônia,0.0,214.0,0.0,97.0
2024-04-02,SÃO LUIZ,RORAIMA,Amazônia,0.0,50.11,12.22,97.56
2024-04-02,BOA VISTA,RORAIMA,Amazônia,2.0,0.0,100.0,88.54
2024-04-02,NORMANDIA,RORAIMA,Amazônia,2.0,0.0,89.43,18.57
2024-04-02,BONFIM,RORAIMA,Amazônia,2.25,0.0,70.67,132.57
2024-04-02,CANTÁ,RORAIMA,Amazônia,2.41,0.54,57.0,70.03
2024-04-02,UIRAMUTÃ,RORAIMA,Amazônia,2.38,0.0,89.92,101.54
2024-04-02,PACARAIMA,RORAIMA,Amazônia,2.0,0.0,68.4,42.8
2024-04-02,CARACARAÍ,RORAIMA,Amazônia,2.0,2399.76,14.12,490.48
2024-04-02,RORAINÓPOLIS,RORAIMA,Amazônia,0.07,1442.07,5.59,354.37
2024-04-02,CAROEBE,RORAIMA,Amazônia,0.0,27.29,1.0,201.71
2024-04-02,SÃO JOÃO DA BALIZA,RORAIMA,Amazônia,0.0,83.75,0.25,58.13
2024-04-02,IRACEMA,RORAIMA,Amazônia,3.29,0.0,89.29,21.29
2024-04-02,ALTO ALEGRE,RORAIMA,Amazônia,1.23,52.85,72.38,301.23
2024-04-02,MUCAJAÍ,RORAIMA,Amazônia,3.86,4.07,89.68,19.22
2024-04-02,BAIÃO,PARÁ,Amazônia,0.0,462.0,0.0,58.0
2024-04-02,SANTA MARIA DAS BARREIRAS,PARÁ,Amazônia,0.0,789.0,0.0,88.0
2024-04-02,ORIXIMINÁ,PARÁ,Amazônia,0.0,0.0,54.71,189.21
2024-04-02,BENEVIDES,PARÁ,Amazônia,0.0,1078.0,0.0,7.0
2024-04-02,URUARÁ,PARÁ,Amazônia,1.0,1457.5,0.0,57.0
2024-04-02,ÓBIDOS,PARÁ,Amazônia,0.0,13.0,100.0,65.5
2024-04-02,BREU BRANCO,PARÁ,Amazônia,0.0,429.0,0.0,74.0
2024-04-02,ALMEIRIM,PARÁ,Amazônia,0.0,756.0,0.0,52.0
2024-04-02,GOIANÉSIA DO PARÁ,PARÁ,Amazônia,0.0,759.0,0.0,50.0
2024-04-02,RONDON DO PARÁ,PARÁ,Amazônia,0.0,470.0,0.0,51.0
2024-04-02,SANTANA DO ARAGUAIA,PARÁ,Amazônia,0.6,814.2,0.2,115.0
2024-04-02,JURUTI,PARÁ,Amazônia,1.0,1429.0,0.0,156.0
2024-04-02,PACAJÁ,PARÁ,Amazônia,0.0,3949.0,0.0,8.0
2024-04-02,DOM ELISEU,PARÁ,Amazônia,0.0,242.0,0.0,106.0
